Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;United Kingdom;2.409;-;1.869;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;United Rep. of Tanzania;64.569;5;53.881;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Zambia;16.684;*;18.598;;;;;;;;;;;;;;;;;
Dem. Rep. of the Congo;Zimbabwe;4.725;*;4.866;;;;;;;;;;;;;;;;;
Egypt;Australia;1.132;-;1.370;;;;;;;;;;;;;;;;;
Egypt;Italy;581;-;1.145;;;;;;;;;;;;;;;;;
Egypt;United States;8.497;-;10.047;;;;;;;;;;;;;;;;;
El Salvador;Canada;1.223;-;1.301;;;;;;;;;;;;;;;;;
El Salvador;United States;7.208;-;8.256;;;;;;;;;;;;;;;;;
Eritrea;Canada;1.676;-;1.750;;;;;;;;;;;;;;;;;
Eritrea;Egypt;1.523;-;1.625;;;;;;;;;;;;;;;;;
Eritrea;Ethiopia;84.377;-;123.784;;;;;;;;;;;;;;;;;
Eritrea;France;1.508;-;1.671;;;;;;;;;;;;;;;;;
Eritrea;Germany;3.984;-;4.716;;;;;;;;;;;;;;;;;
Eritrea;Israel;35.214;-;32.668;;;;;;;;;;;;;;;;;
Eritrea;Italy;12.666;-;13.357;;;;;;;;;;;;;;;;;
Eritrea;Kenya;1.432;-;1.333;;;;;;;;;;;;;;;;;
Eritrea;Netherlands;2.807;-;6.294;;;;;;;;;;;;;;;;;
Eritrea;Norway;9.344;-;11.202;;;;;;;;;;;;;;;;;
Eritrea;South Africa;822;-;2.219;;;;;;;;;;;;;;;;;
Eritrea;Sudan;109.640;-;109.196;;;;;;;;;;;;;;;;;
Eritrea;Sweden;8.954;-;14.107;;;;;;;;;;;;;;;;;
Eritrea;Switzerland;13.106;-;16.091;;;;;;;;;;;;;;;;;
Eritrea;Uganda;1.992;-;2.600;;;;;;;;;;;;;;;;;
Eritrea;United Kingdom;10.010;-;11.583;;;;;;;;;;;;;;;;;
Eritrea;United States;3.619;-;3.868;;;;;;;;;;;;;;;;;
Eritrea;Yemen;1.009;-;1.254;;;;;;;;;;;;;;;;;
Ethiopia;Canada;2.163;-;2.155;;;;;;;;;;;;;;;;;
Ethiopia;Egypt;1.029;*;1.138;;;;;;;;;;;;;;;;;
Ethiopia;Germany;2.639;-;2.695;;;;;;;;;;;;;;;;;
Ethiopia;Italy;2.291;-;2.354;;;;;;;;;;;;;;;;;
Ethiopia;Kenya;23.524;-;21.250;;;;;;;;;;;;;;;;;
Ethiopia;Norway;1.774;-;1.884;;;;;;;;;;;;;;;;;
Ethiopia;Somalia;2.305;5;2.606;;;;;;;;;;;;;;;;;
Ethiopia;South Africa;7.582;-;18.830;;;;;;;;;;;;;;;;;
Ethiopia;South Sudan;5.890;443;4.900;;;;;;;;;;;;;;;;;
Ethiopia;Sudan;5.108;-;5.495;;;;;;;;;;;;;;;;;
Ethiopia;Uganda;880;-;1.265;;;;;;;;;;;;;;;;;
Ethiopia;United States;10.472;-;10.384;;;;;;;;;;;;;;;;;
Ethiopia;Yemen;5.740;*;5.934;;;;;;;;;;;;;;;;;
Gambia;Italy;642;-;1.923;;;;;;;;;;;;;;;;;
Gambia;United Kingdom;937;-;1.102;;;;;;;;;;;;;;;;;
Gambia;United States;1.133;-;1.264;;;;;;;;;;;;;;;;;
Georgia;France;2.571;-;2.714;;;;;;;;;;;;;;;;;
Ghana;Italy;1.441;-;1.733;;;;;;;;;;;;;;;;;
Ghana;Togo;17.746;-;18.444;;;;;;;;;;;;;;;;;
Guatemala;United States;5.292;-;6.098;;;;;;;;;;;;;;;;;
Guinea;Belgium9;2.290;-;2.550;;;;;;;;;;;;;;;;;
Guinea;France;4.668;-;5.201;;;;;;;;;;;;;;;;;
Guinea;Italy;778;-;1.026;;;;;;;;;;;;;;;;;
Guinea;United States;3.466;-;3.145;;;;;;;;;;;;;;;;;
Haiti;Canada;7.872;-;8.422;;;;;;;;;;;;;;;;;
Haiti;France;3.741;-;3.523;;;;;;;;;;;;;;;;;
Haiti;United States;25.891;-;24.170;;;;;;;;;;;;;;;;;
Honduras;United States;2.122;-;2.797;;;;;;;;;;;;;;;;;
India;Canada;4.988;-;4.292;;;;;;;;;;;;;;;;;
India;United States;4.500;-;4.484;;;;;;;;;;;;;;;;;
Indonesia;Papua New Guinea;9.368;-;9.368;;;;;;;;;;;;;;;;;
Indonesia;United States;4.027;-;3.604;;;;;;;;;;;;;;;;;
Iraq;Australia;2.963;-;3.121;;;;;;;;;;;;;;;;;
Iraq;Austria;2.966;356;2.966;;;;;;;;;;;;;;;;;
Iraq;Belgium9;3.058;34;3.357;;;;;;;;;;;;;;;;;
Iraq;Bulgaria;1.200;31;1.207;;;;;;;;;;;;;;;;;
Iraq;Canada;1.730;39;1.643;;;;;;;;;;;;;;;;;
Iraq;Egypt;5.506;104;5.149;;;;;;;;;;;;;;;;;
Iraq;Finland;3.448;37;3.607;;;;;;;;;;;;;;;;;
Iraq;France;2.677;103;2.991;;;;;;;;;;;;;;;;;
Iraq;Germany;40.230;324;41.167;;;;;;;;;;;;;;;;;
Iraq;Greece;1.019;447;1.242;;;;;;;;;;;;;;;;;
Iraq;Islamic Rep. of Iran;43.268;281;32.000;;;;;;;;;;;;;;;;;
Iraq;Italy;2.294;351;2.913;;;;;;;;;;;;;;;;;
Iraq3;Jordan;55.509;750;29.263;;;;;;;;;;;;;;;;;
Iraq;Lebanon;4.944;109;5.986;;;;;;;;;;;;;;;;;
Iraq;Libya;2.530;244;2.520;;;;;;;;;;;;;;;;;
Iraq;Netherlands;15.533;-;14.396;;;;;;;;;;;;;;;;;
Iraq;Norway;5.679;254;5.190;;;;;;;;;;;;;;;;;
Iraq;Sweden;24.006;-;24.184;;;;;;;;;;;;;;;;;
Iraq;Switzerland;3.883;96;3.751;;;;;;;;;;;;;;;;;
Iraq4;Syrian Arab Rep.;146.200;1.962;146.200;;;;;;;;;;;;;;;;;
Iraq;Turkey;13.467;119;17.542;;;;;;;;;;;;;;;;;
Iraq;United Kingdom;3.193;738;2.951;;;;;;;;;;;;;;;;;
Iraq;United States;4.863;-;5.284;;;;;;;;;;;;;;;;;
Iraq;Yemen;3.416;79;3.391;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Australia;4.596;-;4.900;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Austria;3.188;-;3.188;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Canada;3.033;-;2.834;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Denmark;1.842;-;1.912;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;France;2.311;-;2.359;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Germany;17.150;-;18.814;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Iraq;7.992;-;11.053;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Italy;1.127;-;1.412;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Netherlands;4.148;-;4.207;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Norway;1.478;-;1.479;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Sweden;3.763;-;4.152;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Switzerland;1.355;-;1.486;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;Turkey;3.321;11;3.388;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;United Kingdom;11.368;-;11.510;;;;;;;;;;;;;;;;;
Islamic Rep. of Iran;United States;4.492;-;4.848;;;;;;;;;;;;;;;;;
Kenya;Ethiopia;2.894;-;2.728;;;;;;;;;;;;;;;;;
Kenya;Uganda;1.197;*;1.274;;;;;;;;;;;;;;;;;
Kenya;United States;2.365;-;2.305;;;;;;;;;;;;;;;;;
Lao People's Dem. Rep.;France;7.261;-;7.036;;;;;;;;;;;;;;;;;
Lebanon;Canada;1.103;-;1.024;;;;;;;;;;;;;;;;;
